Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
56,734,88,0.9361702127659575,644,125,1.3297872340425532,110.0,312,173,1.9042553191489362,4.5212765957446805,20840.858450902044,329,2.372340425531915,0.13829787234042554
57,747,84,0.8936170212765957,661,131,1.3936170212765957,110.0,318,177,1.946808510638298,4.585106382978723,20124.23333625134,335,2.372340425531915,0.13829787234042554
58,763,84,0.8936170212765957,677,131,1.3936170212765957,111.0,327,181,1.9574468085106382,4.638297872340425,20715.831438227644,340,2.372340425531915,0.13829787234042554
59,776,85,0.9042553191489362,689,134,1.425531914893617,113.0,332,183,1.9574468085106382,4.659574468085107,20650.280677523366,342,2.372340425531915,0.13829787234042554
60,785,84,0.8936170212765957,699,136,1.446808510638298,114.0,341,185,1.9893617021276595,4.74468085106383,20435.423274217923,350,2.372340425531915,0.13829787234042554
61,795,83,0.8829787234042553,710,137,1.4574468085106382,119.0,346,188,2.0,4.776595744680851,20288.166936470036,353,2.372340425531915,0.13829787234042554
62,816,85,0.9042553191489362,729,140,1.4893617021276595,125.0,350,192,2.0,4.75531914893617,21045.825180000742,351,2.372340425531915,0.13829787234042554
63,828,86,0.9148936170212766,740,142,1.5106382978723405,126.0,361,197,2.0106382978723403,4.808510638297872,20885.265904238,356,2.372340425531915,0.13829787234042554
64,837,84,0.8936170212765957,751,150,1.5957446808510638,128.0,370,202,2.0425531914893615,4.872340425531915,20272.81239138841,362,2.372340425531915,0.13829787234042554
65,852,84,0.8936170212765957,766,152,1.6170212765957446,131.0,376,205,2.0425531914893615,4.904255319148936,20551.073470587962,365,2.372340425531915,0.13829787234042554
66,863,84,0.8936170212765957,777,156,1.6595744680851063,131.0,386,208,2.0425531914893615,4.9787234042553195,20132.467727528656,372,2.393617021276596,0.11702127659574468
67,873,83,0.8829787234042553,788,158,1.6808510638297873,136.0,391,210,2.0425531914893615,5.0212765957446805,19881.579667816673,376,2.393617021276596,0.11702127659574468
68,886,84,0.8936170212765957,800,160,1.702127659574468,139.0,393,217,2.0425531914893615,4.957446808510638,20558.821557191477,370,2.393617021276596,0.11702127659574468
69,899,83,0.8829787234042553,814,160,1.702127659574468,141.0,398,225,2.0638297872340425,4.9361702127659575,20369.338561165987,368,2.393617021276596,0.11702127659574468
70,914,87,0.925531914893617,825,157,1.6702127659574468,145.0,405,232,2.074468085106383,4.8936170212765955,20666.282245865852,364,2.393617021276596,0.11702127659574468
71,919,85,0.9042553191489362,832,161,1.7127659574468086,145.0,411,234,2.106382978723404,4.957446808510638,20396.423969287793,370,2.393617021276596,0.11702127659574468
72,933,85,0.9042553191489362,846,166,1.7659574468085106,148.0,420,241,2.127659574468085,4.9787234042553195,20621.2958825758,372,2.404255319148936,0.10638297872340426
73,945,84,0.8936170212765957,859,171,1.8191489361702127,150.0,426,245,2.148936170212766,5.01063829787234,20401.43379256188,375,2.404255319148936,0.10638297872340426
74,965,81,0.8617021276595744,882,176,1.872340425531915,157.0,430,251,2.1914893617021276,5.0212765957446805,20370.293420669233,376,2.404255319148936,0.10638297872340426
75,981,86,0.9148936170212766,893,172,1.8297872340425532,160.0,431,254,2.1702127659574466,4.946808510638298,21108.482115595954,369,2.404255319148936,0.10638297872340426
76,993,85,0.9042553191489362,906,175,1.8617021276595744,164.0,436,259,2.202127659574468,4.957446808510638,21156.3035871626,370,2.404255319148936,0.10638297872340426
77,1006,84,0.8936170212765957,920,184,1.9574468085106382,167.0,441,265,2.223404255319149,4.957446808510638,20564.89890451203,370,2.404255319148936,0.10638297872340426
78,1012,85,0.9042553191489362,925,184,1.9574468085106382,171.0,449,267,2.202127659574468,5.01063829787234,20510.903744797924,375,2.404255319148936,0.10638297872340426
79,1028,84,0.8936170212765957,942,185,1.9680851063829787,176.0,455,271,2.234042553191489,5.042553191489362,20088.327843364936,378,2.404255319148936,0.10638297872340426
80,1034,85,0.9042553191489362,947,185,1.9680851063829787,178.0,458,273,2.223404255319149,5.042553191489362,20203.315597534965,378,2.404255319148936,0.10638297872340426
Years Elapsed,Cumulative Out-Migrants,Instant Out-Migrants,Average Out-Migrants,Total Re-Migrants,Instant Re-Migrants,Average Re-Migrants,Total Marriages,Total Births,Total Deaths,Average Laborers,Average Household Size,Average Income,Population,GTGP Parcels Per Household,Non-GTGP Parcels Per Household
0,95,83,0.8829787234042553,10,10,0.10638297872340426,1.0,0,3,1.6170212765957446,3.0638297872340425,20442.304178324135,192,0.010638297872340425,2.5
1,102,81,0.8617021276595744,19,19,0.20212765957446807,2.0,0,5,1.627659574468085,3.0638297872340425,20169.209366898507,192,1.3297872340425532,1.1808510638297873
2,111,81,0.8617021276595744,28,22,0.23404255319148937,2.0,0,9,1.627659574468085,3.021276595744681,20009.604583225886,188,1.6808510638297873,0.8297872340425532
3,117,81,0.8617021276595744,34,22,0.23404255319148937,3.0,23,9,1.627659574468085,3.265957446808511,20087.565095252383,211,1.8404255319148937,0.6702127659574468
4,131,82,0.8723404255319149,47,24,0.2553191489361702,11.0,24,10,1.627659574468085,3.25531914893617,20191.444510911686,210,1.946808510638298,0.5638297872340425
5,141,81,0.8617021276595744,58,30,0.3191489361702128,12.0,28,12,1.648936170212766,3.2872340425531914,20154.738417525998,213,2.0425531914893615,0.46808510638297873
6,150,81,0.8617021276595744,67,32,0.3404255319148936,15.0,32,14,1.648936170212766,3.3085106382978724,19945.70425810394,215,2.106382978723404,0.40425531914893614
7,158,82,0.8723404255319149,74,32,0.3404255319148936,19.0,39,14,1.6382978723404256,3.372340425531915,19898.325593597092,221,2.1382978723404253,0.3723404255319149
8,167,79,0.8404255319148937,86,36,0.3829787234042553,19.0,44,18,1.6702127659574468,3.4148936170212765,19776.52553191489,225,2.1914893617021276,0.3191489361702128
9,175,81,0.8617021276595744,92,35,0.3723404255319149,21.0,46,22,1.6595744680851063,3.372340425531915,19899.57287782622,221,2.223404255319149,0.2872340425531915
10,186,82,0.8723404255319149,102,35,0.3723404255319149,22.0,49,23,1.648936170212766,3.382978723404255,20092.79899166554,222,2.24468085106383,0.26595744680851063
11,195,80,0.851063829787234,113,39,0.4148936170212766,24.0,56,26,1.6914893617021276,3.4468085106382977,19810.222671132004,228,2.25531914893617,0.2553191489361702
12,207,81,0.8617021276595744,124,39,0.4148936170212766,24.0,59,27,1.6702127659574468,3.4574468085106385,20055.080160072033,229,2.265957446808511,0.24468085106382978
13,216,83,0.8829787234042553,131,40,0.425531914893617,24.0,64,30,1.6595744680851063,3.4574468085106385,19982.650544041997,229,2.276595744680851,0.23404255319148937
14,223,83,0.8829787234042553,138,41,0.43617021276595747,24.0,67,31,1.6595744680851063,3.478723404255319,19982.650544041997,231,2.297872340425532,0.2127659574468085
15,234,83,0.8829787234042553,149,43,0.4574468085106383,24.0,69,34,1.6595744680851063,3.4680851063829787,20066.475826653128,230,2.297872340425532,0.2127659574468085
16,244,84,0.8936170212765957,158,43,0.4574468085106383,25.0,71,34,1.6595744680851063,3.478723404255319,19909.03196695721,231,2.3085106382978724,0.20212765957446807
17,255,82,0.8723404255319149,171,47,0.5,26.0,73,41,1.6702127659574468,3.4468085106382977,20040.394928695747,228,2.3297872340425534,0.18085106382978725
18,269,86,0.9148936170212766,181,44,0.46808510638297873,26.0,75,47,1.6382978723404256,3.3617021276595747,20077.21659941052,220,2.3404255319148937,0.1702127659574468
19,270,80,0.851063829787234,188,50,0.5319148936170213,26.0,77,48,1.6808510638297873,3.4361702127659575,20040.394928695747,227,2.3404255319148937,0.1702127659574468
20,283,81,0.8617021276595744,200,50,0.5319148936170213,29.0,80,51,1.6702127659574468,3.425531914893617,20006.697789478636,226,2.351063829787234,0.1595744680851064
21,288,80,0.851063829787234,206,50,0.5319148936170213,29.0,85,53,1.6702127659574468,3.4680851063829787,19796.35838335896,230,2.351063829787234,0.1595744680851064
22,302,80,0.851063829787234,220,51,0.5425531914893617,29.0,88,54,1.6702127659574468,3.4893617021276597,20027.151348417494,232,2.351063829787234,0.1595744680851064
23,316,83,0.8829787234042553,231,50,0.5319148936170213,29.0,90,58,1.6702127659574468,3.4361702127659575,20054.72086058232,227,2.351063829787234,0.1595744680851064
24,327,83,0.8829787234042553,242,50,0.5319148936170213,36.0,97,60,1.6595744680851063,3.4893617021276597,19910.692837504765,232,2.351063829787234,0.1595744680851064
